"","Zip.Code","Total.Population","Median.Age","Total.Males","Total.Females","Total.Households","Average.Household.Size","Water_FY.05.06","Water_FY.06.07","Water_FY.07.08","Water_FY.08.09","Water_FY.09.10","Water_FY.10.11","Water_FY.11.12","Water_FY.12.13","Energy_FY.05.06","Energy_FY.06.07","Energy_FY.07.08","Energy_FY.08.09","Energy_FY.09.10","Energy_FY.10.11","Energy_FY.11.12","Energy_FY.12.13"
"52",90062,32821,31.8,15720,17101,9155,3.55,16,17,16,15,15,14,14,10,362,372,379,368,362,357,354,356
"53",90063,55758,29,27843,27915,13260,4.19,18,19,17,17,15,15,16,9,305,313,318,313,308,304,299,310
"54",90064,25403,40,12297,13106,10968,2.29,25,27,25,24,21,21,22,14,539,553,564,552,539,522,521,533
"55",90065,45527,36.1,22873,22654,14476,3.12,17,17,16,15,14,14,14,9,399,413,419,413,400,394,390,411
"56",90066,55277,37.3,27714,27563,23985,2.29,20,21,19,18,17,16,17,11,391,402,405,398,393,386,383,382
"57",90067,2424,65.3,1074,1350,1510,1.61,NA,NA,NA,NA,NA,NA,NA,NA,854,847,849,826,780,770,747,772
"58",90068,22286,39.4,12018,10268,12326,1.8,29,33,30,28,25,25,26,17,617,633,636,627,606,593,576,603
"59",90069,20483,41.5,12153,8330,13364,1.53,40,42,40,39,36,35,36,25,1026,1087,1107,1116,1065,1063,1039,1102
"60",90077,9377,47.9,4594,4783,3615,2.57,45,52,48,46,38,39,39,36,1674,1735,1774,1747,1680,1636,1613,1678
"61",90094,5464,33.7,2559,2905,2949,1.85,79,79,81,87,86,90,88,9,335,347,351,386,385,370,380,391
"62",90210,21741,47.5,10292,11449,8669,2.49,48,56,53,51,41,40,43,45,1915,1982,2030,2033,1949,1896,1899,1944
"63",90212,11555,41.2,5211,6344,5567,2.08,37,51,56,55,50,26,42,70,609,505,626,639,585,565,601,639
"64",90230,31766,39.1,14932,16834,12883,2.45,19,20,19,18,16,16,16,9,368,370,376,372,364,362,358,361
"65",90232,15149,38.6,7333,7816,6605,2.28,37,38,38,36,32,31,31,6,267,281,282,271,259,249,238,243
"66",90247,47487,35.5,23217,24270,15830,2.96,25,25,23,22,20,20,20,11,366,374,380,374,371,363,360,362
"67",90248,9947,41.2,4823,5124,3427,2.89,28,27,26,25,20,21,23,10,446,451,452,443,433,423,419,418
"68",90272,22986,47.3,10952,12034,9212,2.49,31,35,32,31,26,26,27,24,980,1007,1028,1009,994,985,980,1002
"69",90275,41804,47.8,20283,21521,15618,2.65,12,15,12,11,10,9,9,9,204,224,241,264,234,233,479,390
"70",90291,28341,37.6,14757,13584,14261,1.95,16,17,15,15,14,14,14,9,375,386,390,387,385,382,371,368
"71",90292,21576,41.2,10729,10847,12654,1.7,34,35,35,35,33,32,33,9,498,510,488,487,483,467,473,473
"72",90293,12132,40.4,5890,6242,6575,1.83,44,41,38,37,34,35,37,13,478,489,492,479,468,464,455,446
"73",90402,12250,47,5809,6441,5301,2.31,23,24,22,22,19,19,20,20,970,989,988,982,983,994,992,989
"74",90403,24525,40.8,11426,13099,13970,1.74,NA,NA,NA,NA,NA,NA,NA,NA,407,404,640,621,699,588,636,464
"75",90405,27186,40.8,13364,13822,14376,1.87,6,7,7,6,7,6,7,7,375,346,362,371,374,367,426,410
"76",90501,43180,35,21483,21697,14610,2.94,27,28,26,25,24,23,23,11,323,329,329,326,323,318,318,321
"77",90710,25457,36.7,12291,13166,8717,2.91,26,27,26,25,24,23,24,11,369,382,386,376,369,356,353,360
"78",90717,21318,39.5,10317,11001,8520,2.48,21,21,20,19,18,18,17,12,410,418,423,412,406,394,384,383
"79",90731,59662,35.6,29951,29711,22044,2.62,31,29,35,34,24,22,23,10,339,347,353,343,341,335,643,337
"80",90732,21115,45,9843,11272,8611,2.38,26,28,25,24,21,21,22,12,497,505,518,506,497,482,476,482
"81",90744,53815,28.7,27298,26517,13999,3.83,70,79,84,83,73,74,66,11,327,335,339,337,333,323,325,328
"82",91040,20372,43.3,10120,10252,7359,2.72,26,28,25,24,19,19,20,16,672,689,694,699,660,639,642,685
"83",91042,27585,40.7,13734,13851,9987,2.74,20,21,20,18,16,15,16,12,523,531,538,537,510,499,499,527
"84",91105,11254,49,5432,5822,5213,2.07,NA,NA,NA,NA,NA,NA,NA,NA,404,431,412,400,349,286,317,391
"85",91205,37810,39.1,18084,19726,14089,2.67,NA,NA,NA,NA,NA,NA,NA,NA,475,531,648,639,624,666,694,764
"86",91214,30356,42.5,14642,15714,10551,2.87,23,26,24,23,17,16,18,18,724,661,718,717,686,691,703,756
"87",91302,25709,42.4,12487,13222,9303,2.76,62,66,58,65,55,52,44,36,921,983,1004,1010,938,868,899,976
"88",91303,26855,31.1,13907,12948,8697,3.08,35,38,36,35,31,31,32,14,449,430,440,453,412,402,421,434
"89",91304,50231,35.9,24827,25404,16532,3,35,38,36,34,28,28,29,20,678,685,694,687,645,623,622,662
"90",91306,45061,35.4,22679,22382,13635,3.28,24,25,24,22,19,19,20,15,615,631,634,626,593,569,580,613
"91",91307,24474,43.4,11939,12535,8315,2.91,24,26,25,23,18,18,20,18,855,872,874,868,799,770,775,818
"92",91309,NA,NA,NA,NA,NA,NA,18,19,17,14,13,13,13,12,744,799,890,894,825,746,555,524
"93",91311,36557,42.7,17838,18719,13425,2.66,38,42,39,37,30,30,32,23,847,853,858,826,790,763,757,796
"94",91316,26898,42.1,12717,14181,11911,2.26,47,52,50,49,41,41,44,26,756,776,791,767,731,707,705,747
"95",91324,27669,36.5,13545,14124,9289,2.95,37,40,37,35,30,30,31,22,729,751,734,718,683,653,652,662
"96",91325,32417,35.4,15819,16598,11825,2.72,42,47,44,41,35,34,36,24,694,713,719,692,660,629,638,658
"97",91326,33708,42.7,16394,17314,11770,2.86,32,36,33,31,25,25,27,21,885,892,873,848,804,774,750,805
"98",91330,2702,19.6,1103,1599,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,261,262,271,259,221,205,200,221
"99",91331,103689,29.5,52358,51331,22465,4.6,25,27,25,24,21,21,22,15,518,534,545,538,520,513,515,552
"100",91335,74363,35.5,36596,37767,22855,3.21,25,27,25,24,21,20,21,14,549,569,577,568,541,520,538,560
"101",91340,34188,30.1,17130,17058,8176,4.17,25,26,24,23,19,19,19,14,521,539,545,544,530,523,533,568
"102",91342,91725,31.9,45786,45939,23543,3.83,32,36,34,32,27,26,36,16,599,609,611,613,581,569,577,605
"103",91343,60254,32.3,30145,30109,16802,3.55,33,35,33,31,27,26,27,17,596,614,621,601,578,553,568,600
"104",91344,51747,41,25212,26535,16872,3.03,28,31,29,27,22,21,23,20,791,819,826,805,771,730,743,775
"105",91345,18496,35.7,9110,9386,5192,3.52,27,30,27,25,21,20,23,15,611,639,643,635,608,588,597,625
"106",91352,47807,32.1,23980,23827,11985,3.95,39,42,41,40,32,31,35,15,528,541,554,550,531,517,521,559
"107",91356,29458,41.7,14216,15242,11686,2.5,49,55,51,48,40,40,42,33,881,916,919,904,857,822,835,866
"108",91364,25851,44,12739,13112,10409,2.47,32,36,32,30,25,25,26,22,936,960,962,957,904,876,875,920
"109",91367,39499,41,19171,20328,16697,2.35,39,43,41,38,32,32,35,24,743,751,748,749,699,683,688,719
"110",91401,39285,36,19613,19672,14380,2.7,29,31,29,28,24,24,25,16,541,562,572,559,538,515,521,549
"111",91402,69817,30.1,35095,34722,18194,3.81,39,41,39,37,34,33,33,14,435,449,456,442,431,424,422,455
